"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Chile","CHL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.83392334","139.40788269","137.25187683","149.66825867","178.89059448","212.62835693","232.76448059","254.15292358","271.25875854","254.56730652","299.08621216","341.95770264","360.0743103","396.75463867","392.51693726","388.92678833","407.14871216","453.0071106","483.77868652","","",
"China","CHN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.32022667","28.02834129","30.88593864","33.79009628","37.17823029","41.4585762","45.48060989","49.79314804","62.47270203","70.66744232","76.08855438","95.17764282","110.51488495","124.41589355","131.38084412","136.88473511","141.9586792","157.63285828","179.13200378","","",
"Cote d'Ivoire","CIV","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.61389732","17.70798683","15.73665142","21.34237671","26.5616436","30.08535576","34.30664063","42.29482651","46.33533478","44.57837296","43.28432846","43.9278183","40.17472458","40.85057068","41.13087845","27.0393486","26.98329735","27.29348373","28.33962822","","",
"Cameroon","CMR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6573925","19.56129646","21.35165787","26.46842003","29.99387169","30.8433876","31.85304832","35.48601532","38.94378662","37.77103424","36.74142456","39.26542664","36.88228607","38.66810226","39.14274216","34.74881363","35.50822449","37.64164352","40.91818619","","",
"Congo, Dem. Rep.","COD","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1492033","4.23404837","3.2083683","4.41668081","6.06689882","6.36297703","7.61648369","7.8918848","8.13821411","6.16093826","4.76072454","4.9051795","5.64496231","6.43815374","7.49986458","7.38834476","7.67542744","7.79126358","7.70249939","","",
"Congo, Rep.","COG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.19096851","9.44562912","10.51358414","13.33818817","15.50476265","16.38286972","17.91250038","21.15686226","24.515625","25.208992","23.99180984","25.61701393","22.2796154","23.13639641","23.23827171","19.51771545","25.17967415","24.90306282","24.8472805","","",
"Colombia","COL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.19260406","18.30326843","14.98538113","11.0136261","21.68016815","33.99056244","42.50522614","58.89889908","78.0782547","68.40048981","76.19086456","76.17760468","96.98444366","98.92097473","94.90455627","71.55866241","69.02755737","75.22415161","77.64473724","","",
"Comoros","COM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.50257874","36.27929306","38.22931671","45.66027832","50.13572693","50.06423187","50.44350815","54.96406174","58.88022995","55.7359848","52.87660217","55.41149902","51.04589844","52.64581299","52.55197906","43.81445313","44.34317017","45.85856247","48.62505341","","",
"Cabo Verde","CPV","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.92197895","15.66541004","17.14463425","21.53177071","23.37825012","24.7559967","28.1618309","30.57429886","32.57828903","32.80828476","42.44869232","41.6963501","43.48170471","46.38640594","49.13048172","40.70131302","43.54078674","49.37066269","54.48855209","","",
"Costa Rica","CRI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.54357147","81.10463715","85.22746277","88.93187714","93.62485504","102.15886688","112.65548706","132.00924683","152.10926819","141.13969421","167.68534851","193.28269958","192.21990967","191.70306396","202.94786072","199.75811768","195.13928223","183.07691956","203.91618347","","",
